date,current,open,high,low,volume,trade_volume
20180510,795,801,806,786,368274,292
20180509,802,807,816,781,238034,191
20180508,808,806,824,801,381647,308
20180504,800,800,804,791,282200,225
20180503,796,798,804,780,423461,338
20180502,795,789,795,730,593206,459
20180430,790,802,813,780,460645,363
20180427,803,804,812,793,210546,169
20180426,800,818,822,800,445577,360
20180425,818,833,839,813,327170,269
20180424,834,816,848,814,640382,532
20180423,814,825,828,812,469951,384
20180420,825,828,832,814,345391,284
20180419,824,822,827,803,488768,396
20180418,815,808,840,799,914720,749
20180417,798,781,809,772,682728,537
20180416,777,800,800,772,706414,551
20180413,789,799,802,772,1151460,905
20180412,810,752,870,748,2796294,2236
20180411,751,734,800,729,3386215,2571
20180410,701,802,802,680,5159551,3687
20180409,809,830,830,795,512456,414
20180406,825,848,848,798,221822,183
20180405,848,835,855,828,178582,151
20180404,835,849,849,829,273141,229
20180403,840,848,848,834,194609,163
20180402,854,843,880,837,338440,291
20180330,837,841,842,830,229629,192
20180329,838,842,842,825,151429,126
